locus_tag	ftype	length_bp	gene	EC_number	COG	product
PGJBDIIN_00044	CDS	342			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00045	CDS	381			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00046	CDS	402				hypothetical protein
PGJBDIIN_00047	CDS	777				hypothetical protein
PGJBDIIN_00048	CDS	393				hypothetical protein
PGJBDIIN_00049	CDS	276			COG3385	IS4 family transposase ISWosp2
PGJBDIIN_00050	CDS	318			COG3385	IS4 family transposase ISWosp2
PGJBDIIN_00051	CDS	168				hypothetical protein
PGJBDIIN_00052	CDS	258				hypothetical protein
PGJBDIIN_00053	CDS	642				hypothetical protein
PGJBDIIN_00054	CDS	1464	pepA	3.4.11.10		cytosol aminopeptidase
PGJBDIIN_00055	CDS	1188				hypothetical protein
PGJBDIIN_00056	CDS	306	ihfA		COG0776	Integration host factor subunit alpha
PGJBDIIN_00057	CDS	327				hypothetical protein
PGJBDIIN_00058	CDS	597				hypothetical protein
PGJBDIIN_00059	CDS	2517	leuS	6.1.1.4		Leucine--tRNA ligase
PGJBDIIN_00060	CDS	669				hypothetical protein
PGJBDIIN_00061	CDS	165				hypothetical protein
PGJBDIIN_00062	CDS	162				hypothetical protein
PGJBDIIN_00063	CDS	198				hypothetical protein
PGJBDIIN_00064	CDS	294				hypothetical protein
PGJBDIIN_00065	CDS	708	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
PGJBDIIN_00066	CDS	312			COG0776	DNA-binding protein HRL53
PGJBDIIN_00067	CDS	255	rpsI		COG0103	30S ribosomal protein S9
PGJBDIIN_00068	CDS	459	rplM		COG0102	50S ribosomal protein L13
PGJBDIIN_00069	CDS	1062	bepC			Outer membrane efflux protein BepC
PGJBDIIN_00070	CDS	567				hypothetical protein
PGJBDIIN_00071	CDS	564	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
PGJBDIIN_00072	CDS	2403	smc_1			Chromosome partition protein Smc
PGJBDIIN_00073	CDS	312				hypothetical protein
PGJBDIIN_00074	CDS	483				hypothetical protein
PGJBDIIN_00075	CDS	411				hypothetical protein
PGJBDIIN_00076	CDS	390				hypothetical protein
PGJBDIIN_00077	CDS	816				hypothetical protein
PGJBDIIN_00078	CDS	165				hypothetical protein
PGJBDIIN_00079	CDS	162				hypothetical protein
PGJBDIIN_00080	CDS	198				hypothetical protein
PGJBDIIN_00081	CDS	294				hypothetical protein
PGJBDIIN_00082	CDS	1173				hypothetical protein
PGJBDIIN_00083	CDS	816				hypothetical protein
PGJBDIIN_00084	CDS	612	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
PGJBDIIN_00085	CDS	1506	secD		COG0342	Protein translocase subunit SecD
PGJBDIIN_00086	CDS	153				hypothetical protein
PGJBDIIN_00087	CDS	147				hypothetical protein
PGJBDIIN_00088	CDS	132				hypothetical protein
PGJBDIIN_00089	CDS	135				hypothetical protein
PGJBDIIN_00090	CDS	204	guaB_1	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
PGJBDIIN_00091	CDS	1221	guaB_2	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
PGJBDIIN_00092	CDS	861	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
PGJBDIIN_00093	tRNA	74				tRNA-Thr(tgt)
PGJBDIIN_00094	CDS	699	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
PGJBDIIN_00095	CDS	1089				hypothetical protein
PGJBDIIN_00096	CDS	375	fdxA		COG1146	Ferredoxin 1
PGJBDIIN_00097	CDS	648				hypothetical protein
PGJBDIIN_00098	CDS	948	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
PGJBDIIN_00099	CDS	759	ftsQ			Cell division protein FtsQ
PGJBDIIN_00100	CDS	171				hypothetical protein
PGJBDIIN_00101	CDS	111				hypothetical protein
PGJBDIIN_00102	CDS	111				hypothetical protein
PGJBDIIN_00103	CDS	111				hypothetical protein
PGJBDIIN_00104	CDS	111				hypothetical protein
PGJBDIIN_00105	CDS	1107	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
PGJBDIIN_00106	CDS	315	gdx_1			Guanidinium exporter
PGJBDIIN_00107	CDS	345	gdx_2			Guanidinium exporter
PGJBDIIN_00108	CDS	285			COG3385	IS4 family transposase ISWosp8
PGJBDIIN_00109	CDS	282			COG3385	IS4 family transposase ISWosp8
PGJBDIIN_00110	CDS	3141	putA		COG0506	Bifunctional protein PutA
PGJBDIIN_00111	CDS	2586	acn	4.2.1.3	COG1048	Aconitate hydratase A
PGJBDIIN_00112	CDS	504	secB		COG1952	Protein-export protein SecB
PGJBDIIN_00113	CDS	651				hypothetical protein
PGJBDIIN_00114	CDS	696	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
PGJBDIIN_00115	CDS	609	ypmQ		COG1999	SCO1 protein 
PGJBDIIN_00116	CDS	2430	gyrB	5.6.2.2		DNA gyrase subunit B
PGJBDIIN_00117	CDS	354				hypothetical protein
PGJBDIIN_00118	CDS	165				hypothetical protein
PGJBDIIN_00119	CDS	1329			COG3385	IS4 family transposase ISWen1
PGJBDIIN_00120	CDS	1281	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
PGJBDIIN_00121	CDS	621				hypothetical protein
PGJBDIIN_00122	CDS	546				hypothetical protein
PGJBDIIN_00123	CDS	2115				hypothetical protein
PGJBDIIN_00124	CDS	276				hypothetical protein
PGJBDIIN_00125	CDS	222				hypothetical protein
PGJBDIIN_00126	CDS	312				hypothetical protein
PGJBDIIN_00127	CDS	222				hypothetical protein
PGJBDIIN_00128	CDS	219				hypothetical protein
PGJBDIIN_00129	CDS	438				hypothetical protein
PGJBDIIN_00130	tmRNA	336	ssrA			transfer-messenger RNA, SsrA
PGJBDIIN_00131	CDS	591				hypothetical protein
PGJBDIIN_00132	CDS	597	ribE	2.5.1.9		Riboflavin synthase
PGJBDIIN_00133	CDS	1731				hypothetical protein
PGJBDIIN_00134	CDS	1044	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
PGJBDIIN_00135	CDS	1293	glmU_1			Bifunctional protein GlmU
PGJBDIIN_00136	CDS	303	rplU		COG0261	50S ribosomal protein L21
PGJBDIIN_00137	CDS	270	rpmA		COG0211	50S ribosomal protein L27
PGJBDIIN_00138	tRNA	77				tRNA-Ile(gat)
PGJBDIIN_00139	CDS	1173	metK	2.5.1.6		S-adenosylmethionine synthase
PGJBDIIN_00140	CDS	381			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00141	CDS	342			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00142	CDS	672	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
PGJBDIIN_00143	CDS	660	tenA_2	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
PGJBDIIN_00144	CDS	828	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
PGJBDIIN_00145	CDS	489	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
PGJBDIIN_00146	CDS	468		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
PGJBDIIN_00147	CDS	1425	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
PGJBDIIN_00148	CDS	2928				hypothetical protein
PGJBDIIN_00149	CDS	420				hypothetical protein
PGJBDIIN_00150	CDS	1374	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
PGJBDIIN_00151	CDS	657				hypothetical protein
PGJBDIIN_00152	CDS	657				hypothetical protein
PGJBDIIN_00153	CDS	168	tatA			Sec-independent protein translocase protein TatA
PGJBDIIN_00154	CDS	774	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
PGJBDIIN_00155	tRNA	77				tRNA-Arg(cct)
PGJBDIIN_00156	CDS	1818	uvrC		COG0322	UvrABC system protein C
PGJBDIIN_00157	CDS	2118	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
PGJBDIIN_00158	CDS	840	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
PGJBDIIN_00159	CDS	759				hypothetical protein
PGJBDIIN_00160	CDS	996	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
PGJBDIIN_00161	CDS	1026	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
PGJBDIIN_00162	CDS	2070	nqo3	7.1.1.-	COG1034	NADH-quinone oxidoreductase chain 3
PGJBDIIN_00163	CDS	213				hypothetical protein
PGJBDIIN_00164	CDS	822				hypothetical protein
PGJBDIIN_00165	CDS	540	def	3.5.1.88		Peptide deformylase
PGJBDIIN_00166	CDS	1239	ftsA		COG0849	Cell division protein FtsA
PGJBDIIN_00167	CDS	792	map	3.4.11.18	COG0024	Methionine aminopeptidase
PGJBDIIN_00168	CDS	1248	proP_1			Proline/betaine transporter
PGJBDIIN_00169	CDS	945	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
PGJBDIIN_00170	CDS	312				hypothetical protein
PGJBDIIN_00171	CDS	300				hypothetical protein
PGJBDIIN_00172	CDS	612	rplY			50S ribosomal protein L25
PGJBDIIN_00173	CDS	549	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
PGJBDIIN_00174	CDS	963				IS481 family transposase ISWpi4
PGJBDIIN_00175	CDS	1149	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
PGJBDIIN_00176	CDS	525				hypothetical protein
PGJBDIIN_00177	CDS	1023	apbC		COG0489	Iron-sulfur cluster carrier protein
PGJBDIIN_00178	CDS	411				hypothetical protein
PGJBDIIN_00179	CDS	324				hypothetical protein
PGJBDIIN_00180	CDS	294				hypothetical protein
PGJBDIIN_00181	CDS	198				hypothetical protein
PGJBDIIN_00182	CDS	162				hypothetical protein
PGJBDIIN_00183	CDS	165				hypothetical protein
PGJBDIIN_00184	CDS	1425				hypothetical protein
PGJBDIIN_00185	CDS	588	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
PGJBDIIN_00186	CDS	1179	rnd_1	3.1.13.5	COG0349	Ribonuclease D
PGJBDIIN_00187	CDS	2496	mutS		COG0249	DNA mismatch repair protein MutS
PGJBDIIN_00188	CDS	807				hypothetical protein
PGJBDIIN_00189	CDS	183				hypothetical protein
PGJBDIIN_00190	CDS	114				hypothetical protein
PGJBDIIN_00191	CDS	708				hypothetical protein
PGJBDIIN_00192	CDS	1563	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
PGJBDIIN_00193	CDS	1785	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
PGJBDIIN_00194	CDS	1077	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
PGJBDIIN_00195	rRNA	2755				23S ribosomal RNA
PGJBDIIN_00196	rRNA	101				5S ribosomal RNA
PGJBDIIN_00197	CDS	264				hypothetical protein
PGJBDIIN_00198	CDS	138				hypothetical protein
PGJBDIIN_00199	CDS	1089				hypothetical protein
PGJBDIIN_00200	CDS	1452	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
PGJBDIIN_00201	CDS	345	atpC		COG0355	ATP synthase epsilon chain
PGJBDIIN_00202	CDS	219				hypothetical protein
PGJBDIIN_00203	CDS	153				hypothetical protein
PGJBDIIN_00204	CDS	147				hypothetical protein
PGJBDIIN_00205	CDS	135				hypothetical protein
PGJBDIIN_00206	CDS	135				hypothetical protein
PGJBDIIN_00207	CDS	708	fucA	4.1.2.17		L-fuculose phosphate aldolase
PGJBDIIN_00208	CDS	624				hypothetical protein
PGJBDIIN_00209	CDS	576	OSGEPL1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
PGJBDIIN_00210	CDS	1065				hypothetical protein
PGJBDIIN_00211	CDS	990	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
PGJBDIIN_00212	CDS	339	bamE			Outer membrane protein assembly factor BamE
PGJBDIIN_00213	CDS	549				hypothetical protein
PGJBDIIN_00214	CDS	342			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00215	CDS	381			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00216	CDS	1032	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
PGJBDIIN_00217	CDS	141				hypothetical protein
PGJBDIIN_00218	CDS	723	recO			DNA repair protein RecO
PGJBDIIN_00219	CDS	1383	pleD			Response regulator PleD
PGJBDIIN_00220	CDS	297				hypothetical protein
PGJBDIIN_00221	CDS	4725	gdh	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
PGJBDIIN_00222	CDS	2562	clpB			Chaperone protein ClpB
PGJBDIIN_00223	CDS	444				hypothetical protein
PGJBDIIN_00224	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
PGJBDIIN_00225	CDS	603	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
PGJBDIIN_00226	CDS	1185	gltP		COG1301	Proton/glutamate-aspartate symporter
PGJBDIIN_00227	CDS	1329	pyrC	3.5.2.3	COG0044	Dihydroorotase
PGJBDIIN_00228	CDS	1242				hypothetical protein
PGJBDIIN_00229	CDS	372	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
PGJBDIIN_00230	CDS	1671	ccmF_2		COG1138	Cytochrome c-type biogenesis protein CcmF
PGJBDIIN_00231	CDS	1572				hypothetical protein
PGJBDIIN_00232	CDS	279				hypothetical protein
PGJBDIIN_00233	CDS	876	secF			Protein translocase subunit SecF
PGJBDIIN_00234	CDS	537				hypothetical protein
PGJBDIIN_00235	CDS	1710	yidC		COG0706	Membrane protein insertase YidC
PGJBDIIN_00236	CDS	429	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
PGJBDIIN_00237	CDS	483	nusB			Transcription antitermination protein NusB
PGJBDIIN_00238	CDS	330				hypothetical protein
PGJBDIIN_00239	CDS	201				hypothetical protein
PGJBDIIN_00240	CDS	393				hypothetical protein
PGJBDIIN_00241	CDS	654				hypothetical protein
PGJBDIIN_00242	CDS	462	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
PGJBDIIN_00243	CDS	942	argB	2.7.2.8	COG0548	Acetylglutamate kinase
PGJBDIIN_00244	CDS	594	engB			GTP-binding protein EngB
PGJBDIIN_00245	CDS	1080	prfA		COG0216	Peptide chain release factor 1
PGJBDIIN_00246	CDS	1164	mdtM			Multidrug resistance protein MdtM
PGJBDIIN_00247	CDS	930				hypothetical protein
PGJBDIIN_00248	CDS	135				hypothetical protein
PGJBDIIN_00249	CDS	135				hypothetical protein
PGJBDIIN_00250	CDS	147				hypothetical protein
PGJBDIIN_00251	CDS	153				hypothetical protein
PGJBDIIN_00252	CDS	1332				hypothetical protein
PGJBDIIN_00253	CDS	1329			COG3385	IS4 family transposase ISWen1
PGJBDIIN_00254	CDS	1053				IS256 family transposase ISWpi15
PGJBDIIN_00255	CDS	636				hypothetical protein
PGJBDIIN_00256	CDS	927				hypothetical protein
PGJBDIIN_00257	CDS	1194				hypothetical protein
PGJBDIIN_00258	CDS	432				hypothetical protein
PGJBDIIN_00259	CDS	1077				hypothetical protein
PGJBDIIN_00260	CDS	240				hypothetical protein
PGJBDIIN_00261	CDS	204				hypothetical protein
PGJBDIIN_00262	CDS	1005				hypothetical protein
PGJBDIIN_00263	CDS	327				hypothetical protein
PGJBDIIN_00264	CDS	1230				hypothetical protein
PGJBDIIN_00265	CDS	492				hypothetical protein
PGJBDIIN_00266	CDS	150				hypothetical protein
PGJBDIIN_00267	CDS	1827				hypothetical protein
PGJBDIIN_00268	CDS	222				hypothetical protein
PGJBDIIN_00269	CDS	414				hypothetical protein
PGJBDIIN_00270	CDS	222				hypothetical protein
PGJBDIIN_00271	CDS	309				hypothetical protein
PGJBDIIN_00272	CDS	375				hypothetical protein
PGJBDIIN_00273	CDS	1047				hypothetical protein
PGJBDIIN_00274	CDS	882				hypothetical protein
PGJBDIIN_00275	CDS	183				hypothetical protein
PGJBDIIN_00276	CDS	1062				hypothetical protein
PGJBDIIN_00277	CDS	372				hypothetical protein
PGJBDIIN_00278	CDS	1002				hypothetical protein
PGJBDIIN_00279	CDS	261				hypothetical protein
PGJBDIIN_00280	CDS	1023				IS110 family transposase ISWen2
PGJBDIIN_00281	CDS	144				hypothetical protein
PGJBDIIN_00282	CDS	498				hypothetical protein
PGJBDIIN_00283	CDS	474				hypothetical protein
PGJBDIIN_00284	CDS	204				hypothetical protein
PGJBDIIN_00285	CDS	291				hypothetical protein
PGJBDIIN_00286	CDS	255				hypothetical protein
PGJBDIIN_00287	CDS	336				hypothetical protein
PGJBDIIN_00288	CDS	810				hypothetical protein
PGJBDIIN_00289	CDS	1161				hypothetical protein
PGJBDIIN_00290	CDS	603				hypothetical protein
PGJBDIIN_00291	CDS	591				hypothetical protein
PGJBDIIN_00292	CDS	465				hypothetical protein
PGJBDIIN_00293	CDS	1503				hypothetical protein
PGJBDIIN_00294	CDS	144				hypothetical protein
PGJBDIIN_00295	CDS	1215				hypothetical protein
PGJBDIIN_00296	CDS	828				hypothetical protein
PGJBDIIN_00297	CDS	2106				hypothetical protein
PGJBDIIN_00298	CDS	1626				hypothetical protein
PGJBDIIN_00299	CDS	891				hypothetical protein
PGJBDIIN_00300	CDS	912				hypothetical protein
PGJBDIIN_00301	CDS	168				hypothetical protein
PGJBDIIN_00302	CDS	108				hypothetical protein
PGJBDIIN_00303	CDS	285				hypothetical protein
PGJBDIIN_00304	CDS	210				hypothetical protein
PGJBDIIN_00305	CDS	165				hypothetical protein
PGJBDIIN_00306	CDS	165				hypothetical protein
PGJBDIIN_00307	CDS	765	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
PGJBDIIN_00308	CDS	1551	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
PGJBDIIN_00309	CDS	888	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
PGJBDIIN_00310	CDS	438	rnhA_1	3.1.26.4	COG0328	Ribonuclease HI
PGJBDIIN_00311	CDS	3123				hypothetical protein
PGJBDIIN_00312	CDS	1650	groL5			60 kDa chaperonin 5
PGJBDIIN_00313	CDS	291	groS		COG0234	10 kDa chaperonin
PGJBDIIN_00314	CDS	807	ygfZ			tRNA-modifying protein YgfZ
PGJBDIIN_00315	CDS	1740	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
PGJBDIIN_00316	CDS	234				hypothetical protein
PGJBDIIN_00317	CDS	1302				hypothetical protein
PGJBDIIN_00318	CDS	1296				hypothetical protein
PGJBDIIN_00319	CDS	2454	lon	3.4.21.53		Lon protease
PGJBDIIN_00320	CDS	1278	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
PGJBDIIN_00321	CDS	627	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
PGJBDIIN_00322	CDS	1338	tig	5.2.1.8	COG0544	Trigger factor
PGJBDIIN_00323	tRNA	83				tRNA-Leu(tag)
PGJBDIIN_00324	CDS	597				hypothetical protein
PGJBDIIN_00325	CDS	930	gshB	6.3.2.3	COG0189	Glutathione synthetase
PGJBDIIN_00326	CDS	1032	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
PGJBDIIN_00327	CDS	393				hypothetical protein
PGJBDIIN_00328	CDS	1374	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
PGJBDIIN_00329	CDS	423				hypothetical protein
PGJBDIIN_00330	CDS	183				hypothetical protein
PGJBDIIN_00331	CDS	342			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00332	CDS	381			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00333	CDS	408				hypothetical protein
PGJBDIIN_00334	CDS	201				hypothetical protein
PGJBDIIN_00335	CDS	330				hypothetical protein
PGJBDIIN_00336	CDS	1344	alsT_1		COG1115	Amino-acid carrier protein AlsT
PGJBDIIN_00337	CDS	2679				hypothetical protein
PGJBDIIN_00338	CDS	597	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
PGJBDIIN_00339	CDS	264	infA			Translation initiation factor IF-1
PGJBDIIN_00340	CDS	2478				hypothetical protein
PGJBDIIN_00341	CDS	297			COG3039	IS5 family transposase ISCaa8
PGJBDIIN_00342	CDS	180				hypothetical protein
PGJBDIIN_00343	CDS	1278	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
PGJBDIIN_00344	CDS	1596				hypothetical protein
PGJBDIIN_00345	CDS	183				hypothetical protein
PGJBDIIN_00346	CDS	171				hypothetical protein
PGJBDIIN_00347	CDS	711				hypothetical protein
PGJBDIIN_00348	CDS	831	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
PGJBDIIN_00349	CDS	129				hypothetical protein
PGJBDIIN_00350	CDS	339				hypothetical protein
PGJBDIIN_00351	CDS	303				hypothetical protein
PGJBDIIN_00352	CDS	198				hypothetical protein
PGJBDIIN_00353	CDS	216				hypothetical protein
PGJBDIIN_00354	CDS	165				hypothetical protein
PGJBDIIN_00355	CDS	1035	aaeA			p-hydroxybenzoic acid efflux pump subunit AaeA
PGJBDIIN_00356	CDS	1083			COG3177	putative protein
PGJBDIIN_00357	CDS	1749	dnaG	2.7.7.-		DNA primase
PGJBDIIN_00358	CDS	1176	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
PGJBDIIN_00359	CDS	441				hypothetical protein
PGJBDIIN_00360	CDS	1638	metG	6.1.1.10		Methionine--tRNA ligase
PGJBDIIN_00361	CDS	1185				hypothetical protein
PGJBDIIN_00362	CDS	1452	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
PGJBDIIN_00363	tRNA	84				tRNA-Leu(caa)
PGJBDIIN_00364	CDS	675				hypothetical protein
PGJBDIIN_00365	CDS	291				hypothetical protein
PGJBDIIN_00366	CDS	3270	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
PGJBDIIN_00367	CDS	867	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
PGJBDIIN_00368	CDS	366				hypothetical protein
PGJBDIIN_00369	CDS	801	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
PGJBDIIN_00370	CDS	180				hypothetical protein
PGJBDIIN_00371	CDS	993				hypothetical protein
PGJBDIIN_00372	CDS	1047				hypothetical protein
PGJBDIIN_00373	CDS	786	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
PGJBDIIN_00374	CDS	759	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
PGJBDIIN_00375	CDS	303				hypothetical protein
PGJBDIIN_00376	CDS	198				hypothetical protein
PGJBDIIN_00377	CDS	162				hypothetical protein
PGJBDIIN_00378	CDS	165				hypothetical protein
PGJBDIIN_00379	CDS	1017	prfB		COG1186	Peptide chain release factor RF2
PGJBDIIN_00380	CDS	1371			COG2239	Magnesium transporter MgtE
PGJBDIIN_00381	CDS	1059	trkI		COG0168	Trk system potassium uptake protein TrkI
PGJBDIIN_00382	CDS	432				hypothetical protein
PGJBDIIN_00383	CDS	933				hypothetical protein
PGJBDIIN_00384	CDS	1017	pstS			Phosphate-binding protein PstS
PGJBDIIN_00385	CDS	558	dcd	3.5.4.13	COG0717	dCTP deaminase
PGJBDIIN_00386	CDS	360				hypothetical protein
PGJBDIIN_00387	CDS	570				hypothetical protein
PGJBDIIN_00388	CDS	2712				hypothetical protein
PGJBDIIN_00389	CDS	612				hypothetical protein
PGJBDIIN_00390	CDS	816				hypothetical protein
PGJBDIIN_00391	CDS	1164	mdtL			Multidrug resistance protein MdtL
PGJBDIIN_00392	CDS	1629				hypothetical protein
PGJBDIIN_00393	CDS	2073	tktA	2.2.1.1	COG0021	Transketolase 1
PGJBDIIN_00394	CDS	615	rpsD		COG0522	30S ribosomal protein S4
PGJBDIIN_00395	tRNA	87				tRNA-Leu(taa)
PGJBDIIN_00396	CDS	201	iscX		COG2975	Protein IscX
PGJBDIIN_00397	CDS	342				hypothetical protein
PGJBDIIN_00398	CDS	315	rpmB		COG0227	50S ribosomal protein L28
