locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHLCDNJP_00070	CDS	1224	bepC			Outer membrane efflux protein BepC
EHLCDNJP_00071	CDS	576				hypothetical protein
EHLCDNJP_00072	CDS	564	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
EHLCDNJP_00073	CDS	2403	smc_1			Chromosome partition protein Smc
EHLCDNJP_00074	CDS	312				hypothetical protein
EHLCDNJP_00075	CDS	483				hypothetical protein
EHLCDNJP_00076	CDS	411				hypothetical protein
EHLCDNJP_00077	CDS	390				hypothetical protein
EHLCDNJP_00078	CDS	816				hypothetical protein
EHLCDNJP_00079	CDS	165				hypothetical protein
EHLCDNJP_00080	CDS	162				hypothetical protein
EHLCDNJP_00081	CDS	198				hypothetical protein
EHLCDNJP_00082	CDS	294				hypothetical protein
EHLCDNJP_00083	CDS	1173				hypothetical protein
EHLCDNJP_00084	CDS	816				hypothetical protein
EHLCDNJP_00085	CDS	786	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
EHLCDNJP_00086	CDS	1506	secD		COG0342	Protein translocase subunit SecD
EHLCDNJP_00087	CDS	153				hypothetical protein
EHLCDNJP_00088	CDS	147				hypothetical protein
EHLCDNJP_00089	CDS	132				hypothetical protein
EHLCDNJP_00090	CDS	135				hypothetical protein
EHLCDNJP_00091	CDS	1494	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
EHLCDNJP_00092	CDS	861	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
EHLCDNJP_00093	tRNA	74				tRNA-Thr(tgt)
EHLCDNJP_00094	CDS	690	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
EHLCDNJP_00095	CDS	1089				hypothetical protein
EHLCDNJP_00096	CDS	375			COG1146	Ferredoxin 1
EHLCDNJP_00097	CDS	648				hypothetical protein
EHLCDNJP_00098	CDS	846	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
EHLCDNJP_00099	CDS	759	ftsQ			Cell division protein FtsQ
EHLCDNJP_00100	CDS	171				hypothetical protein
EHLCDNJP_00101	CDS	111				hypothetical protein
EHLCDNJP_00102	CDS	1107	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
EHLCDNJP_00103	CDS	315	gdx_1			Guanidinium exporter
EHLCDNJP_00104	CDS	345	gdx_2			Guanidinium exporter
EHLCDNJP_00105	CDS	285			COG3385	IS4 family transposase ISWosp8
EHLCDNJP_00106	CDS	282			COG3385	IS4 family transposase ISWosp8
EHLCDNJP_00107	CDS	3141	putA		COG0506	Bifunctional protein PutA
EHLCDNJP_00108	CDS	2586	acn	4.2.1.3	COG1048	Aconitate hydratase A
EHLCDNJP_00109	CDS	504	secB		COG1952	Protein-export protein SecB
EHLCDNJP_00110	CDS	651				hypothetical protein
EHLCDNJP_00111	CDS	696	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
EHLCDNJP_00112	CDS	609	ypmQ		COG1999	SCO1 protein 
EHLCDNJP_00113	CDS	2430	gyrB	5.6.2.2		DNA gyrase subunit B
EHLCDNJP_00114	CDS	354				hypothetical protein
EHLCDNJP_00115	CDS	165				hypothetical protein
EHLCDNJP_00116	CDS	1416			COG3385	IS4 family transposase ISWen1
EHLCDNJP_00117	CDS	1281	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
EHLCDNJP_00118	CDS	621				hypothetical protein
EHLCDNJP_00119	CDS	489				hypothetical protein
EHLCDNJP_00120	CDS	2115				hypothetical protein
EHLCDNJP_00121	CDS	279				hypothetical protein
EHLCDNJP_00122	CDS	276				hypothetical protein
EHLCDNJP_00123	CDS	222				hypothetical protein
EHLCDNJP_00124	CDS	312				hypothetical protein
EHLCDNJP_00125	CDS	222				hypothetical protein
EHLCDNJP_00126	CDS	219				hypothetical protein
EHLCDNJP_00127	CDS	438				hypothetical protein
EHLCDNJP_00128	tmRNA	336	ssrA			transfer-messenger RNA, SsrA
EHLCDNJP_00129	CDS	591				hypothetical protein
EHLCDNJP_00130	CDS	597	ribE	2.5.1.9		Riboflavin synthase
EHLCDNJP_00131	CDS	1731				hypothetical protein
EHLCDNJP_00132	CDS	1044	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
EHLCDNJP_00133	CDS	1086	glmU_1		COG1207	Bifunctional protein GlmU
EHLCDNJP_00134	CDS	303	rplU		COG0261	50S ribosomal protein L21
EHLCDNJP_00135	CDS	270	rpmA		COG0211	50S ribosomal protein L27
EHLCDNJP_00136	tRNA	77				tRNA-Ile(gat)
EHLCDNJP_00137	CDS	1173	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
EHLCDNJP_00138	CDS	381			COG3039	IS5 family transposase ISWpi1
EHLCDNJP_00139	CDS	342			COG3039	IS5 family transposase ISWpi1
EHLCDNJP_00140	CDS	672	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
EHLCDNJP_00141	CDS	660	tenA_2	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
EHLCDNJP_00142	CDS	828	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
EHLCDNJP_00143	CDS	489	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
EHLCDNJP_00144	CDS	468		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
EHLCDNJP_00145	CDS	1425	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
EHLCDNJP_00146	CDS	2844				hypothetical protein
EHLCDNJP_00147	CDS	378				hypothetical protein
EHLCDNJP_00148	CDS	1374	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
EHLCDNJP_00149	CDS	657				hypothetical protein
EHLCDNJP_00150	CDS	657				hypothetical protein
EHLCDNJP_00151	CDS	168	tatA			Sec-independent protein translocase protein TatA
EHLCDNJP_00152	CDS	387	fbpC	7.2.2.7		Fe(3+) ions import ATP-binding protein FbpC
EHLCDNJP_00153	CDS	207	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
EHLCDNJP_00154	tRNA	77				tRNA-Arg(cct)
EHLCDNJP_00155	CDS	1818	uvrC		COG0322	UvrABC system protein C
EHLCDNJP_00156	CDS	2118	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
EHLCDNJP_00157	CDS	840	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
EHLCDNJP_00158	CDS	759				hypothetical protein
EHLCDNJP_00159	CDS	996	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
EHLCDNJP_00160	CDS	1026	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
EHLCDNJP_00161	CDS	2070	nqo3	7.1.1.-	COG1034	NADH-quinone oxidoreductase chain 3
EHLCDNJP_00162	CDS	213				hypothetical protein
EHLCDNJP_00163	CDS	216				hypothetical protein
EHLCDNJP_00164	CDS	822				hypothetical protein
EHLCDNJP_00165	CDS	360	def	3.5.1.88		Peptide deformylase
EHLCDNJP_00166	CDS	1239	ftsA		COG0849	Cell division protein FtsA
EHLCDNJP_00167	CDS	792	map	3.4.11.18	COG0024	Methionine aminopeptidase
EHLCDNJP_00168	CDS	1248	proP_1			Proline/betaine transporter
EHLCDNJP_00169	CDS	945	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
EHLCDNJP_00170	CDS	312				hypothetical protein
EHLCDNJP_00171	CDS	300				hypothetical protein
EHLCDNJP_00172	CDS	612	rplY			50S ribosomal protein L25
EHLCDNJP_00173	CDS	549	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
EHLCDNJP_00174	CDS	963				IS481 family transposase ISWpi4
EHLCDNJP_00175	CDS	1116	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
EHLCDNJP_00176	CDS	525				hypothetical protein
EHLCDNJP_00177	CDS	468	apbC		COG0489	Iron-sulfur cluster carrier protein
EHLCDNJP_00178	CDS	465				Iron-sulfur cluster carrier protein
EHLCDNJP_00179	CDS	411				hypothetical protein
EHLCDNJP_00180	CDS	324				hypothetical protein
EHLCDNJP_00181	CDS	294				hypothetical protein
EHLCDNJP_00182	CDS	198				hypothetical protein
EHLCDNJP_00183	CDS	162				hypothetical protein
EHLCDNJP_00184	CDS	165				hypothetical protein
EHLCDNJP_00185	CDS	1425				hypothetical protein
EHLCDNJP_00186	CDS	588	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
EHLCDNJP_00187	CDS	1179	rnd_1	3.1.13.5	COG0349	Ribonuclease D
EHLCDNJP_00188	CDS	2496	mutS		COG0249	DNA mismatch repair protein MutS
EHLCDNJP_00189	CDS	807				hypothetical protein
EHLCDNJP_00190	CDS	183				hypothetical protein
EHLCDNJP_00191	CDS	114				hypothetical protein
EHLCDNJP_00192	CDS	708				hypothetical protein
EHLCDNJP_00193	CDS	1563	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
EHLCDNJP_00194	CDS	1785	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
EHLCDNJP_00195	CDS	1077	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
EHLCDNJP_00196	rRNA	2756				23S ribosomal RNA
EHLCDNJP_00197	rRNA	100				5S ribosomal RNA
EHLCDNJP_00198	CDS	264				hypothetical protein
EHLCDNJP_00199	CDS	138				hypothetical protein
EHLCDNJP_00200	CDS	1101				hypothetical protein
EHLCDNJP_00201	CDS	1452	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
EHLCDNJP_00202	CDS	249	atpC			ATP synthase epsilon chain
EHLCDNJP_00203	CDS	219				hypothetical protein
EHLCDNJP_00204	CDS	153				hypothetical protein
EHLCDNJP_00205	CDS	147				hypothetical protein
EHLCDNJP_00206	CDS	132				hypothetical protein
EHLCDNJP_00207	CDS	135				hypothetical protein
EHLCDNJP_00208	CDS	708	fucA	4.1.2.17		L-fuculose phosphate aldolase
EHLCDNJP_00209	CDS	624				hypothetical protein
EHLCDNJP_00210	CDS	576	OSGEPL1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
EHLCDNJP_00211	CDS	1131				hypothetical protein
EHLCDNJP_00212	CDS	990	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
EHLCDNJP_00213	CDS	339	bamE			Outer membrane protein assembly factor BamE
EHLCDNJP_00214	CDS	621				hypothetical protein
EHLCDNJP_00215	CDS	342			COG3039	IS5 family transposase ISWpi1
EHLCDNJP_00216	CDS	381			COG3039	IS5 family transposase ISWpi1
EHLCDNJP_00217	CDS	1032	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
EHLCDNJP_00218	CDS	141				hypothetical protein
EHLCDNJP_00219	CDS	723	recO			DNA repair protein RecO
EHLCDNJP_00220	CDS	1383	pleD			Response regulator PleD
EHLCDNJP_00221	CDS	297				hypothetical protein
EHLCDNJP_00222	CDS	4317	gdhB	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
EHLCDNJP_00223	CDS	282				hypothetical protein
EHLCDNJP_00224	CDS	2562	clpB			Chaperone protein ClpB
EHLCDNJP_00225	CDS	171				hypothetical protein
EHLCDNJP_00226	CDS	201				hypothetical protein
EHLCDNJP_00227	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
EHLCDNJP_00228	CDS	603	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
EHLCDNJP_00229	CDS	1185	gltP		COG1301	Proton/glutamate-aspartate symporter
EHLCDNJP_00230	CDS	1326	pyrC	3.5.2.3		Dihydroorotase
EHLCDNJP_00231	CDS	1242				hypothetical protein
EHLCDNJP_00232	CDS	189				hypothetical protein
EHLCDNJP_00233	CDS	2004	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
EHLCDNJP_00234	CDS	1572				hypothetical protein
EHLCDNJP_00235	CDS	279				hypothetical protein
EHLCDNJP_00236	CDS	876	secF			Protein translocase subunit SecF
EHLCDNJP_00237	CDS	516				hypothetical protein
EHLCDNJP_00238	CDS	1710	yidC		COG0706	Membrane protein insertase YidC
EHLCDNJP_00239	CDS	429	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
EHLCDNJP_00240	CDS	483	nusB			Transcription antitermination protein NusB
EHLCDNJP_00241	CDS	330				hypothetical protein
EHLCDNJP_00242	CDS	201				hypothetical protein
EHLCDNJP_00243	CDS	393				hypothetical protein
EHLCDNJP_00244	CDS	654				hypothetical protein
EHLCDNJP_00245	CDS	462	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
EHLCDNJP_00246	CDS	942	argB	2.7.2.8	COG0548	Acetylglutamate kinase
EHLCDNJP_00247	CDS	594	engB		COG0218	putative GTP-binding protein EngB
EHLCDNJP_00248	CDS	1080	prfA		COG0216	Peptide chain release factor 1
EHLCDNJP_00249	CDS	1164	mdtM			Multidrug resistance protein MdtM
EHLCDNJP_00250	CDS	930				hypothetical protein
EHLCDNJP_00251	CDS	135				hypothetical protein
EHLCDNJP_00252	CDS	132				hypothetical protein
EHLCDNJP_00253	CDS	147				hypothetical protein
EHLCDNJP_00254	CDS	153				hypothetical protein
EHLCDNJP_00255	CDS	1332				hypothetical protein
EHLCDNJP_00256	CDS	1329			COG3385	IS4 family transposase ISWen1
EHLCDNJP_00257	CDS	1233				IS256 family transposase ISWpi15
EHLCDNJP_00258	CDS	636				hypothetical protein
EHLCDNJP_00259	CDS	927				hypothetical protein
EHLCDNJP_00260	CDS	1194				hypothetical protein
EHLCDNJP_00261	CDS	432				hypothetical protein
EHLCDNJP_00262	CDS	1077				hypothetical protein
EHLCDNJP_00263	CDS	237				hypothetical protein
EHLCDNJP_00264	CDS	204				hypothetical protein
EHLCDNJP_00265	CDS	1005				hypothetical protein
EHLCDNJP_00266	CDS	141				hypothetical protein
EHLCDNJP_00267	CDS	327				hypothetical protein
EHLCDNJP_00268	CDS	1230				hypothetical protein
EHLCDNJP_00269	CDS	492				hypothetical protein
EHLCDNJP_00270	CDS	150				hypothetical protein
EHLCDNJP_00271	CDS	1827				hypothetical protein
EHLCDNJP_00272	CDS	222				hypothetical protein
EHLCDNJP_00273	CDS	414				hypothetical protein
EHLCDNJP_00274	CDS	222				hypothetical protein
EHLCDNJP_00275	CDS	309				hypothetical protein
EHLCDNJP_00276	CDS	375				hypothetical protein
EHLCDNJP_00277	CDS	1047				hypothetical protein
EHLCDNJP_00278	CDS	882				hypothetical protein
EHLCDNJP_00279	CDS	183				hypothetical protein
EHLCDNJP_00280	CDS	1062				hypothetical protein
EHLCDNJP_00281	CDS	294				hypothetical protein
EHLCDNJP_00282	CDS	1002				hypothetical protein
EHLCDNJP_00283	CDS	261				hypothetical protein
EHLCDNJP_00284	CDS	1023				IS110 family transposase ISWen2
EHLCDNJP_00285	CDS	144				hypothetical protein
EHLCDNJP_00286	CDS	498				hypothetical protein
EHLCDNJP_00287	CDS	474				hypothetical protein
EHLCDNJP_00288	CDS	204				hypothetical protein
EHLCDNJP_00289	CDS	291				hypothetical protein
EHLCDNJP_00290	CDS	255				hypothetical protein
EHLCDNJP_00291	CDS	336				hypothetical protein
EHLCDNJP_00292	CDS	810				hypothetical protein
EHLCDNJP_00293	CDS	1161				hypothetical protein
EHLCDNJP_00294	CDS	603				hypothetical protein
EHLCDNJP_00295	CDS	591				hypothetical protein
EHLCDNJP_00296	CDS	465				hypothetical protein
EHLCDNJP_00297	CDS	1503				hypothetical protein
EHLCDNJP_00298	CDS	114				hypothetical protein
EHLCDNJP_00299	CDS	846				hypothetical protein
EHLCDNJP_00300	CDS	828				hypothetical protein
EHLCDNJP_00301	CDS	2106				hypothetical protein
EHLCDNJP_00302	CDS	1626				hypothetical protein
EHLCDNJP_00303	CDS	891				hypothetical protein
EHLCDNJP_00304	CDS	912				hypothetical protein
EHLCDNJP_00305	CDS	168				hypothetical protein
EHLCDNJP_00306	CDS	108				hypothetical protein
EHLCDNJP_00307	CDS	285				hypothetical protein
EHLCDNJP_00308	CDS	210				hypothetical protein
EHLCDNJP_00309	CDS	165				hypothetical protein
EHLCDNJP_00310	CDS	165				hypothetical protein
EHLCDNJP_00311	CDS	765	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
EHLCDNJP_00312	CDS	1551	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
EHLCDNJP_00313	CDS	888	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
EHLCDNJP_00314	CDS	438	rnhA_1	3.1.26.4	COG0328	Ribonuclease HI
EHLCDNJP_00315	CDS	3123				hypothetical protein
EHLCDNJP_00316	CDS	1650	groL5			60 kDa chaperonin 5
EHLCDNJP_00317	CDS	291	groS		COG0234	10 kDa chaperonin
EHLCDNJP_00318	CDS	807	ygfZ			tRNA-modifying protein YgfZ
EHLCDNJP_00319	CDS	1740	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
EHLCDNJP_00320	CDS	234				hypothetical protein
EHLCDNJP_00321	CDS	1302				hypothetical protein
EHLCDNJP_00322	CDS	1296				hypothetical protein
EHLCDNJP_00323	CDS	2454	lon	3.4.21.53	COG0466	Lon protease
EHLCDNJP_00324	CDS	975	clpX_1			ATP-dependent Clp protease ATP-binding subunit ClpX
EHLCDNJP_00325	CDS	162	clpX_2			ATP-dependent Clp protease ATP-binding subunit ClpX
EHLCDNJP_00326	CDS	627	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
EHLCDNJP_00327	CDS	1338	tig	5.2.1.8	COG0544	Trigger factor
EHLCDNJP_00328	tRNA	83				tRNA-Leu(tag)
EHLCDNJP_00329	CDS	597				hypothetical protein
EHLCDNJP_00330	CDS	930	gshB	6.3.2.3	COG0189	Glutathione synthetase
EHLCDNJP_00331	CDS	1032	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
EHLCDNJP_00332	CDS	393				hypothetical protein
EHLCDNJP_00333	CDS	1374	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
EHLCDNJP_00334	CDS	423				hypothetical protein
EHLCDNJP_00335	CDS	183				hypothetical protein
EHLCDNJP_00336	CDS	342			COG3039	IS5 family transposase ISWpi1
EHLCDNJP_00337	CDS	381			COG3039	IS5 family transposase ISWpi1
EHLCDNJP_00338	CDS	408				hypothetical protein
EHLCDNJP_00339	CDS	201				hypothetical protein
EHLCDNJP_00340	CDS	330				hypothetical protein
EHLCDNJP_00341	CDS	1344	alsT_1		COG1115	Amino-acid carrier protein AlsT
EHLCDNJP_00342	CDS	2679				hypothetical protein
EHLCDNJP_00343	CDS	597	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
EHLCDNJP_00344	CDS	264	infA			Translation initiation factor IF-1
EHLCDNJP_00345	CDS	2478				hypothetical protein
EHLCDNJP_00346	CDS	297			COG3039	IS5 family transposase ISCaa8
EHLCDNJP_00347	CDS	180				hypothetical protein
EHLCDNJP_00348	CDS	1281	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
EHLCDNJP_00349	CDS	1596				hypothetical protein
EHLCDNJP_00350	CDS	183				hypothetical protein
EHLCDNJP_00351	CDS	171				hypothetical protein
EHLCDNJP_00352	CDS	711	ccmC		COG0755	Heme exporter protein C
EHLCDNJP_00353	CDS	831	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
EHLCDNJP_00354	CDS	129				hypothetical protein
EHLCDNJP_00355	CDS	315				hypothetical protein
EHLCDNJP_00356	CDS	303				hypothetical protein
EHLCDNJP_00357	CDS	198				hypothetical protein
EHLCDNJP_00358	CDS	165				hypothetical protein
EHLCDNJP_00359	CDS	1035	aaeA			p-hydroxybenzoic acid efflux pump subunit AaeA
EHLCDNJP_00360	CDS	1083			COG3177	putative protein
EHLCDNJP_00361	CDS	1749	dnaG	2.7.7.-		DNA primase
EHLCDNJP_00362	CDS	1176	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
EHLCDNJP_00363	CDS	306				hypothetical protein
EHLCDNJP_00364	CDS	1638	metG	6.1.1.10		Methionine--tRNA ligase
EHLCDNJP_00365	CDS	1185				hypothetical protein
EHLCDNJP_00366	CDS	1452	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
EHLCDNJP_00367	tRNA	84				tRNA-Leu(caa)
EHLCDNJP_00368	CDS	597				hypothetical protein
EHLCDNJP_00369	CDS	675				hypothetical protein
EHLCDNJP_00370	CDS	291				hypothetical protein
EHLCDNJP_00371	CDS	3270	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
EHLCDNJP_00372	CDS	867	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
EHLCDNJP_00373	CDS	366				hypothetical protein
EHLCDNJP_00374	CDS	801	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
EHLCDNJP_00375	CDS	156				hypothetical protein
EHLCDNJP_00376	CDS	891				hypothetical protein
EHLCDNJP_00377	CDS	1047				hypothetical protein
EHLCDNJP_00378	CDS	786	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
EHLCDNJP_00379	CDS	669	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
EHLCDNJP_00380	CDS	303				hypothetical protein
EHLCDNJP_00381	CDS	198				hypothetical protein
EHLCDNJP_00382	CDS	162				hypothetical protein
EHLCDNJP_00383	CDS	165				hypothetical protein
EHLCDNJP_00384	CDS	1011	prfB		COG1186	Peptide chain release factor RF2
EHLCDNJP_00385	CDS	1371			COG2239	Magnesium transporter MgtE
EHLCDNJP_00386	CDS	1059	trkI		COG0168	Trk system potassium uptake protein TrkI
EHLCDNJP_00387	CDS	432				hypothetical protein
EHLCDNJP_00388	CDS	933				hypothetical protein
EHLCDNJP_00389	CDS	1017	pstS			Phosphate-binding protein PstS
EHLCDNJP_00390	CDS	558	dcd	3.5.4.13	COG0717	dCTP deaminase
EHLCDNJP_00391	CDS	360				hypothetical protein
EHLCDNJP_00392	CDS	570				hypothetical protein
EHLCDNJP_00393	CDS	3336				hypothetical protein
EHLCDNJP_00394	CDS	816				hypothetical protein
EHLCDNJP_00395	CDS	1164	mdtL			Multidrug resistance protein MdtL
EHLCDNJP_00396	CDS	1629				hypothetical protein
EHLCDNJP_00397	CDS	2073	tktA	2.2.1.1	COG0021	Transketolase 1
EHLCDNJP_00398	CDS	615	rpsD		COG0522	30S ribosomal protein S4
